Trigram,Original,Ablated,Direct Effect,Indirect Effect
ftsländer,1.4044573307037354,2.8207457065582275,1.0197243690490723,4.228015899658203
anzmitteln,2.1654958724975586,3.310549259185791,1.3367009162902832,4.428399085998535
 wird gemacht,2.0434019565582275,3.8818633556365967,1.145143747329712,5.144160270690918
 den Staaten,2.298595428466797,4.000887393951416,2.1002416610717773,4.586942195892334
 die verwend,5.0892767906188965,7.055033206939697,5.265784740447998,7.171029567718506
 Halbzeit,4.2852463722229,6.15920877456665,4.494396686553955,6.070938587188721
 beeinflussen,1.1130263805389404,3.5061419010162354,1.1882457733154297,3.324087381362915
 was bestät,3.7019526958465576,5.646579265594482,3.7076103687286377,5.922610282897949
 Vertrags,0.3142971396446228,0.9246105551719666,0.44475287199020386,1.1178171634674072
ich verschär,3.9822826385498047,6.339253902435303,3.8959801197052,6.337370872497559
 die leichte,3.8902299404144287,5.106997966766357,3.4764585494995117,5.549519062042236
an zwe,3.119495153427124,4.1319499015808105,2.5084407329559326,4.937264442443848
ise bestät,3.3992724418640137,4.151878356933594,1.7074917554855347,6.327186584472656
osten verwend,3.1268980503082275,5.225212097167969,3.326450824737549,5.282551288604736
agne verwend,4.184883117675781,6.34807825088501,4.272561073303223,6.403005599975586
 aufzeigen,1.2574509382247925,1.9099351167678833,0.8726924061775208,2.781126022338867
lungsländer,1.9413566589355469,4.190031051635742,1.3363442420959473,5.341371536254883
f verwend,4.1943583488464355,6.155080318450928,4.053861618041992,6.357627868652344
rechen zu,4.555330276489258,5.059200763702393,3.7469968795776367,6.199901103973389
 missverstä,2.24489426612854,3.269134998321533,1.7505903244018555,3.952883720397949
azu verwend,4.242434024810791,6.989985942840576,4.866938591003418,6.921592712402344
 Hinwe,1.5113210678100586,4.559325695037842,3.0449790954589844,3.291215181350708
lag gemacht,2.2825558185577393,4.749950408935547,2.1512973308563232,5.1378889083862305
 Anschlä,2.7136147022247314,4.073633193969727,2.3761610984802246,4.868251800537109
chiedeten,6.681131362915039,10.092556953430176,8.627167701721191,8.521349906921387
ruck gestatten,4.287105560302734,5.789239883422852,3.8201940059661865,6.552178859710693
 den Verträ,3.5514743328094482,3.1084187030792236,1.3316993713378906,6.102294921875
wachungs,5.625208377838135,6.971497535705566,5.27156400680542,7.596471309661865
ig wird und,3.879157304763794,4.021209239959717,2.5583693981170654,5.606637001037598
immt werden,5.320496559143066,6.0708842277526855,4.586134433746338,7.316341400146484
uen verwe,3.563782215118408,4.773926734924316,3.2312731742858887,5.400689601898193
ember beacht,4.560969352722168,7.354187488555908,5.303750514984131,7.083353042602539
lag für eine,3.6763694286346436,4.187225818634033,3.1761415004730225,4.906009197235107
 anwenden,2.4146997928619385,4.342894077301025,3.246450662612915,3.8244881629943848
 nicht veränder,3.8537707328796387,5.380649089813232,2.6964080333709717,6.504604816436768
angebracht,2.4634652137756348,3.965336322784424,2.244532585144043,5.0480780601501465
gesicht der,4.139297008514404,6.3516082763671875,4.339999198913574,6.5181803703308105
