Checkpoint,Type,Logprob
97,German (Ablated),-4.254356384277344
98,German (Ablated),-3.445329189300537
99,German (Ablated),-3.704071521759033
100,German (Ablated),-3.390176773071289
101,German (Ablated),-3.0385565757751465
102,German (Ablated),-2.131509780883789
103,German (Ablated),-2.7394940853118896
104,German (Ablated),-2.5464253425598145
105,German (Ablated),-3.61720609664917
106,German (Ablated),-3.2750422954559326
107,German (Ablated),-4.26170015335083
108,German (Ablated),-3.6650986671447754
109,German (Ablated),-3.6673505306243896
110,German (Ablated),-2.203413963317871
111,German (Ablated),-2.0930261611938477
112,German (Ablated),-1.8904898166656494
113,German (Ablated),-4.286914825439453
114,German (Ablated),-3.4093310832977295
115,German (Ablated),-4.736324310302734
116,German (Ablated),-4.998458385467529
117,German (Ablated),-3.483976125717163
118,German (Ablated),-3.208700656890869
119,German (Ablated),-3.399817943572998
120,German (Ablated),-2.005877733230591
121,German (Ablated),-4.56446647644043
122,German (Ablated),-4.069689750671387
123,German (Ablated),-5.14566707611084
124,German (Ablated),-5.4276347160339355
125,German (Ablated),-5.108932971954346
126,German (Ablated),-5.411167144775391
127,German (Ablated),-6.5569868087768555
128,German (Ablated),-4.574557304382324
129,German (Ablated),-5.2660064697265625
130,German (Ablated),-6.652576446533203
131,German (Ablated),-4.604006767272949
132,German (Ablated),-3.6165053844451904
133,German (Ablated),-4.339999198913574
134,German (Ablated),-4.432690143585205
135,German (Ablated),-4.923307418823242
136,German (Ablated),-5.568243980407715
137,German (Ablated),-6.253443717956543
138,German (Ablated),-3.1472628116607666
139,German (Ablated),-4.014158725738525
140,German (Ablated),-3.9364781379699707
141,German (Ablated),-5.440545558929443
142,German (Ablated),-3.5547070503234863
0,English (Ablated),-10.453802108764648
1,English (Ablated),-10.453802108764648
2,English (Ablated),-10.452197074890137
3,English (Ablated),-10.422142028808594
4,English (Ablated),-10.051254272460938
5,English (Ablated),-8.834465026855469
6,English (Ablated),-6.219955921173096
7,English (Ablated),-5.00718879699707
8,English (Ablated),-2.5176069736480713
9,English (Ablated),-3.1160898208618164
10,English (Ablated),-2.822227954864502
11,English (Ablated),-1.561529278755188
12,English (Ablated),-2.749354839324951
13,English (Ablated),-1.5884315967559814
14,English (Ablated),-3.5165939331054688
15,English (Ablated),-2.4899706840515137
16,English (Ablated),-2.706533670425415
17,English (Ablated),-3.038123846054077
18,English (Ablated),-3.282827615737915
19,English (Ablated),-2.7489514350891113
20,English (Ablated),-3.1891467571258545
21,English (Ablated),-3.3489913940429688
22,English (Ablated),-2.638033390045166
23,English (Ablated),-4.586543560028076
24,English (Ablated),-5.461835861206055
25,English (Ablated),-4.412600517272949
26,English (Ablated),-4.905652046203613
27,English (Ablated),-5.328681945800781
28,English (Ablated),-5.27686071395874
29,English (Ablated),-5.130445957183838
30,English (Ablated),-5.31982421875
31,English (Ablated),-5.576834678649902
32,English (Ablated),-5.4116621017456055
33,English (Ablated),-3.7519147396087646
34,English (Ablated),-2.9846365451812744
35,English (Ablated),-2.934164524078369
36,English (Ablated),-3.4520459175109863
37,English (Ablated),-4.004646301269531
38,English (Ablated),-2.521821975708008
39,English (Ablated),-2.9063162803649902
40,English (Ablated),-3.992928981781006
41,English (Ablated),-2.9538955688476562
42,English (Ablated),-3.8064584732055664
43,English (Ablated),-3.457543134689331
44,English (Ablated),-3.771286725997925
45,English (Ablated),-3.592890501022339
46,English (Ablated),-2.763402223587036
47,English (Ablated),-2.9941697120666504
48,English (Ablated),-3.427563190460205
49,English (Ablated),-2.179901361465454
50,English (Ablated),-2.1931586265563965
51,English (Ablated),-2.731503486633301
52,English (Ablated),-2.8997862339019775
53,English (Ablated),-2.298367977142334
54,English (Ablated),-2.5590641498565674
55,English (Ablated),-2.3060684204101562
56,English (Ablated),-2.115403890609741
57,English (Ablated),-2.1505916118621826
58,English (Ablated),-1.678477168083191
59,English (Ablated),-1.629206895828247
60,English (Ablated),-2.2857320308685303
61,English (Ablated),-2.420407772064209
62,English (Ablated),-2.2438015937805176
63,English (Ablated),-2.3393638134002686
64,English (Ablated),-2.30857515335083
65,English (Ablated),-3.057649850845337
66,English (Ablated),-2.3662633895874023
67,English (Ablated),-2.4053425788879395
68,English (Ablated),-2.6767125129699707
69,English (Ablated),-2.874835252761841
70,English (Ablated),-3.0992276668548584
71,English (Ablated),-2.612525463104248
72,English (Ablated),-3.1453423500061035
73,English (Ablated),-2.841809034347534
74,English (Ablated),-3.391450881958008
75,English (Ablated),-3.0974249839782715
76,English (Ablated),-3.1841177940368652
77,English (Ablated),-3.0417826175689697
78,English (Ablated),-3.072807788848877
79,English (Ablated),-4.264403343200684
80,English (Ablated),-4.105157375335693
81,English (Ablated),-2.028463840484619
82,English (Ablated),-2.4046576023101807
83,English (Ablated),-2.8853566646575928
84,English (Ablated),-2.640796661376953
85,English (Ablated),-2.3961169719696045
86,English (Ablated),-2.6182873249053955
87,English (Ablated),-2.2375705242156982
88,English (Ablated),-1.9454306364059448
89,English (Ablated),-2.3028464317321777
90,English (Ablated),-2.4627628326416016
91,English (Ablated),-2.260896682739258
92,English (Ablated),-2.973644971847534
93,English (Ablated),-2.3283138275146484
94,English (Ablated),-2.120232105255127
95,English (Ablated),-2.5227274894714355
96,English (Ablated),-2.684196710586548
97,English (Ablated),-3.0982539653778076
98,English (Ablated),-3.2855277061462402
99,English (Ablated),-2.6209607124328613
100,English (Ablated),-2.0631446838378906
101,English (Ablated),-2.324082851409912
102,English (Ablated),-2.597947120666504
103,English (Ablated),-2.789994955062866
104,English (Ablated),-2.4726386070251465
105,English (Ablated),-1.8745083808898926
106,English (Ablated),-2.1877238750457764
107,English (Ablated),-2.110818386077881
108,English (Ablated),-2.019838809967041
109,English (Ablated),-2.539121389389038
110,English (Ablated),-2.8177623748779297
111,English (Ablated),-2.4050331115722656
112,English (Ablated),-2.701277017593384
113,English (Ablated),-1.7851743698120117
114,English (Ablated),-2.4588983058929443
115,English (Ablated),-2.1207878589630127
116,English (Ablated),-2.5410847663879395
117,English (Ablated),-2.601165533065796
118,English (Ablated),-2.883322238922119
119,English (Ablated),-3.2210545539855957
120,English (Ablated),-3.0264885425567627
121,English (Ablated),-2.3289337158203125
122,English (Ablated),-2.278522491455078
123,English (Ablated),-2.5161666870117188
124,English (Ablated),-2.0648646354675293
125,English (Ablated),-1.5594581365585327
126,English (Ablated),-2.466646909713745
127,English (Ablated),-2.19537091255188
128,English (Ablated),-2.5964648723602295
129,English (Ablated),-2.044013261795044
130,English (Ablated),-2.206562042236328
131,English (Ablated),-2.723543167114258
132,English (Ablated),-2.6707847118377686
133,English (Ablated),-2.557232618331909
134,English (Ablated),-2.623866558074951
135,English (Ablated),-2.4346282482147217
136,English (Ablated),-2.1798574924468994
137,English (Ablated),-2.4264867305755615
138,English (Ablated),-3.1714508533477783
139,English (Ablated),-2.6579813957214355
140,English (Ablated),-2.8678183555603027
141,English (Ablated),-2.4013123512268066
142,English (Ablated),-2.6339077949523926
